Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,ASF GDAL,6,0,12000.0,12032.256487166685,10741.431738000018,14777.715014999998,6211915.0,0.00813717329970533,0.0,12000,12000,13000,13000,15000,15000,15000,15000,15000,15000,15000
GET,"Harmony GDAL: Bbox, Variable, and reformat",8,0,10000.0,10652.771557499998,9860.758191999992,12142.896178,18200.0,0.010849564399607105,0.0,11000,11000,11000,11000,12000,12000,12000,12000,12000,12000,12000
GET,PODAAC L2SS,17,0,20000.0,20482.51719841177,18984.10960199999,22544.864867,1609986.0,0.023055324349165098,0.0,20000,21000,21000,21000,22000,23000,23000,23000,23000,23000,23000
POST,PODAAC Shapefile Subsetter,9,0,12000.0,12060.046594222218,10845.429069000034,13857.940067999949,50611.0,0.012205759949557993,0.0,12000,12000,12000,12000,14000,14000,14000,14000,14000,14000,14000
GET,SWOT Reprojection: Europe scale extent,5,0,7700.0,7496.5963315999925,6987.0566899999885,7804.135494999997,135583.0,0.0067809777497544405,0.0,7700,7800,7800,7800,7800,7800,7800,7800,7800,7800,7800
GET,cloud access,6,0,640.0,637.6595241666744,552.0122400000105,748.0791220000356,509.0,0.00813717329970533,0.0,640,640,680,680,750,750,750,750,750,750,750
GET,landing page,4,0,210.0,270.4243052499926,207.48457800000608,362.3085719999608,1584.0,0.0054247821998035526,0.0,300,300,360,360,360,360,360,360,360,360,360
,Aggregated,55,0,12000.0,11937.264711418185,207.48457800000608,22544.864867,1198721.018181818,0.07459075524729884,0.0,12000,14000,19000,20000,21000,22000,22000,23000,23000,23000,23000
