Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,"001: Harmony Service Example: Bbox, Variable, and reformat",158,90,180000.0,133063.47296410755,7766.338919000191,180335.474789,7908.101265822785,0.04276584595489185,0.02436029199962194,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000,180000
GET,002: SWOT Reprojection: Europe scale extent,173,0,54000.0,60426.42430597688,9035.886538999875,135991.121821,140987.16184971097,0.04682589462149551,0.0,54000,76000,83000,91000,102000,119000,126000,129000,136000,136000,136000
async_job,003: 48 granules NetCDF-to-Zarr,7,3,126000.0,117390.23910249982,65540.90118408203,161131.96897506714,0.0,0.0018946893777483731,0.0008120097333207313,126000,132000,161000,161000,161000,161000,161000,161000,161000,161000,161000
GET,007: PODAAC L2SS mean sea surface,182,154,180000.0,167431.70341629672,30051.212694,180930.26684200004,8045.692307692308,0.0492619238214577,0.04168316631046421,180000,180000,180000,180000,180000,180000,180000,180000,181000,181000,181000
GET,008: Variable subsetter,149,0,54000.0,60097.26147306713,7168.068102999769,134960.29851100003,279253.0,0.04032981675492966,0.0,54000,74000,82000,91000,110000,118000,130000,134000,135000,135000,135000
async_job,009: 50 granules PODAAC L2SS Async Spatial and Temporal,5,0,587000.0,597389.0820026398,418517.5151824951,886905.6849479675,0.0,0.0013533495555345522,0.0,587000,670000,670000,887000,887000,887000,887000,887000,887000,887000,887000
async_job,010: NetCDF to Zarr single granule,161,0,64000.0,75286.16667238082,10940.340995788574,161692.42095947266,0.0,0.04357785568821258,0.0,64000,90000,103000,112000,137000,151000,157000,159000,162000,162000,162000
async_job,011: Two PODAAC Concise granules,86,0,58000.0,61903.48761857942,11104.007005691528,134821.2320804596,0.0,0.023277612355194297,0.0,58000,72000,79000,87000,113000,120000,132000,135000,135000,135000,135000
GET,012: HOSS spatial and variable subset,151,0,57000.0,62788.65524138409,7434.589200000119,130311.64451799999,46057.0,0.04087115657714348,0.0,57000,77000,86000,94000,112000,119000,124000,128000,130000,130000,130000
async_job,013: Chain L2SS to zarr,135,1,430000.0,473516.7996212288,32977.23412513733,879589.4930362701,0.0,0.036540437999432906,0.0002706699111069104,430000,575000,723000,743000,774000,868000,874000,876000,880000,880000,880000
async_job,"014: 50 granules Harmony Service Example: Bbox, Variable, and reformat",9,0,412000.0,403522.2299363878,216010.81609725952,563056.5991401672,0.0,0.002436029199962194,0.0,412000,453000,498000,548000,563000,563000,563000,563000,563000,563000,563000
async_job,015: 50 granules PODAAC Concise,6,0,109000.0,128187.51994768779,74981.08220100403,185015.7868862152,0.0,0.0016240194666414627,0.0,141000,141000,155000,155000,185000,185000,185000,185000,185000,185000,185000
GET,Set up shared session cookies,1,0,1542.4255710000007,1542.4255710000007,1542.4255710000007,1542.4255710000007,497.0,0.0002706699111069104,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,async request started,433,0,1400.0,1680.6914367113154,1191.2176499999987,3933.9232439999705,807.8706697459585,0.11720007150929222,0.0,1400,2000,2100,2100,2200,2400,2700,3000,3900,3900,3900
GET,job status,70247,1,380.0,404.5810598551711,118.83903100010684,7213.084382000034,1291.3809700058366,19.013749245527137,0.0002706699111069104,380,400,410,410,440,470,600,830,3400,7100,7200
,Aggregated,71903,249,380.0,2769.215186799437,118.83903100010684,886905.6849479675,2318.8715769856612,19.46197861832018,0.0673968078656207,380,400,410,420,450,530,2100,74000,433000,868000,887000
