Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,ASF GDAL,19,0,23000.0,23219.904413157892,16163.257671999996,30441.406108999985,6211915.0,0.035680362158538516,0.0,23000,24000,25000,28000,30000,30000,30000,30000,30000,30000,30000
GET,"Harmony GDAL: Bbox, Variable, and reformat",11,0,28000.0,27672.831757999993,23802.82900099999,32304.491258999973,18200.0,0.020657051775995982,0.0,28000,29000,30000,30000,31000,32000,32000,32000,32000,32000,32000
GET,PODAAC L2SS,41,0,85000.0,85612.18552339026,72518.440222,100181.29347199999,1609986.0,0.07699446571053048,0.0,85000,89000,89000,91000,98000,99000,100000,100000,100000,100000,100000
POST,PODAAC Shapefile Subsetter,12,0,20000.0,24148.225549916668,17936.490100999996,45391.101170000016,50611.0,0.0225349655738138,0.0,21000,24000,27000,27000,34000,45000,45000,45000,45000,45000,45000
GET,SWOT Reprojection: Europe scale extent,17,1,25000.0,22992.06856252941,151.14084999999022,30688.969550000023,127614.70588235294,0.03192453456290288,0.0018779137978178165,25000,26000,26000,27000,30000,31000,31000,31000,31000,31000,31000
GET,cloud access,5,0,520.0,659.1567741999995,459.7787000000153,1318.185158999995,509.0,0.009389568989089082,0.0,520,540,540,1300,1300,1300,1300,1300,1300,1300,1300
GET,landing page,15,0,210.0,220.6905859333342,108.92529900002046,398.2391850000013,1584.0,0.028168706967267247,0.0,210,220,290,290,310,400,400,400,400,400,400
,Aggregated,120,1,26000.0,41191.07462057499,108.92529900002046,100181.29347199999,1558659.15,0.22534965573813798,0.0018779137978178165,27000,73000,81000,84000,89000,93000,99000,100000,100000,100000,100000
