Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,"001: Harmony Service Example: Bbox, Variable, and reformat",303,0,11000.0,15613.847889237628,5577.464509000038,89725.89979500002,18200.0,0.08410255183573617,0.0,11000,13000,17000,20000,29000,36000,61000,75000,90000,90000,90000
GET,002: SWOT Reprojection: Europe scale extent,298,0,61000.0,63148.079950533516,13701.466586000151,154893.89929399977,140989.55704697987,0.0827147209473577,0.0,61000,69000,78000,84000,98000,116000,132000,140000,155000,155000,155000
async_job,003: 48 granules NetCDF-to-Zarr,10,3,209000.0,209134.20000076294,137961.26127243042,255682.963848114,0.0,0.0027756617767569695,0.0008326985330270909,214000,227000,233000,247000,256000,256000,256000,256000,256000,256000,256000
GET,007: PODAAC L2SS mean sea surface,267,0,13000.0,15568.379225018709,7968.140807000054,53535.584268,51571.0,0.0741101694394111,0.0,13000,15000,17000,19000,27000,32000,38000,45000,54000,54000,54000
GET,008: Variable subsetter,285,0,41000.0,42315.03856528421,6468.299513999966,96593.33496199996,279253.0,0.07910636063757363,0.0,41000,56000,62000,66000,76000,81000,84000,95000,97000,97000,97000
async_job,009: 50 granules PODAAC L2SS Async Spatial and Temporal,15,0,306000.0,304963.2161140442,147559.40413475037,434946.8340873718,0.0,0.004163492665135454,0.0,306000,353000,379000,385000,409000,435000,435000,435000,435000,435000,435000
async_job,010: NetCDF to Zarr single granule,250,0,179000.0,173595.104139328,92917.9458618164,256479.60805892944,0.0,0.06939154441892424,0.0,179000,194000,199000,202000,216000,234000,250000,253000,256000,256000,256000
async_job,011: Two PODAAC Concise granules,124,0,148000.0,148916.7201365194,27697.566986083984,387295.90606689453,0.0,0.03441820603178642,0.0,148000,168000,177000,195000,232000,313000,332000,376000,387000,387000,387000
GET,012: HOSS spatial and variable subset,273,1,41000.0,42312.7482789121,5776.83369999977,101223.724747,45888.91208791209,0.07577556650546527,0.00027756617767569694,41000,57000,64000,67000,76000,86000,93000,95000,101000,101000,101000
async_job,013: Chain L2SS to zarr,257,0,191000.0,183291.2859786809,75057.4049949646,263765.5098438263,0.0,0.07133450766265412,0.0,191000,203000,210000,214000,225000,240000,252000,259000,264000,264000,264000
async_job,"014: 50 granules Harmony Service Example: Bbox, Variable, and reformat",17,0,211000.0,190220.8729211022,71586.8468284607,291496.2387084961,0.0,0.004718625020486848,0.0,211000,237000,238000,243000,278000,291000,291000,291000,291000,291000,291000
async_job,015: 50 granules PODAAC Concise,10,0,229000.0,246021.51818275452,121658.1289768219,390108.8182926178,0.0,0.0027756617767569695,0.0,244000,283000,297000,361000,390000,390000,390000,390000,390000,390000,390000
GET,Set up shared session cookies,1,0,1723.0985039999994,1723.0985039999994,1723.0985039999994,1723.0985039999994,497.0,0.00027756617767569694,0.0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
GET,async request started,716,0,1400.0,1733.0366131871542,1169.3082599999798,5167.845433999901,809.3840782122905,0.19873738321579903,0.0,1400,2100,2200,2200,2400,2600,3000,3100,5200,5200,5200
GET,job status,86868,0,380.0,410.03318970860704,331.1583889999383,3494.796149999729,1280.5909540912648,24.111618722332445,0.0,380,400,410,420,460,540,770,920,1700,3300,3500
,Aggregated,89694,4,380.0,2335.813519172613,331.1583889999383,434946.8340873718,2957.122148638705,24.896020740443962,0.0011102647107027878,380,400,420,430,490,780,11000,66000,223000,355000,435000
