"totalTime","numInputGranules","totalGranuleSize","harmonyGdalAdapter","harmonyServiceExample","harmonyNetcdfToZarr","swotReproject","varSubsetter","sdsMaskfill","trajectorySubsetter","podaacConcise","podaacL2Subsetter","giovanniAdapter"
14.347,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
29.467,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
9.837,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
32.015,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
24.282,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
11.479,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
6.95,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
24.356,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
23.425,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
17.924,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
8.135,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
26.933,2,16.9348630905151,0,0,0,0,0,0,0,1,0,0
13.684,1,2.24,0,0,0,0,1,0,0,0,0,0
25.281,1,2.24,0,0,0,0,1,0,0,0,0,0
9.098,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
9.65,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
11.169,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
46.736,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
38.5,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
26.08,1,0.738396644592285,0,0,1,0,0,0,0,0,0,0
9.218,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
10.22,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
7.225,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
9.83,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
9.212,1,2.24,0,0,0,0,1,0,0,0,0,0
37.616,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
16.321,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
88.979,2,16.9348630905151,0,0,0,0,0,0,0,1,0,0
8.226,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
10.432,1,2.24,0,0,0,0,1,0,0,0,0,0
10.183,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
43.943,50,1065.02231025696,0,0,0,0,0,0,0,0,1,0
43.312,1,20.0407552719116,0,0,1,0,0,0,0,0,1,0
9.234,1,2.24,0,0,0,0,1,0,0,0,0,0
7.093,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
10.501,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
108.211,50,423.28272819519,0,0,0,0,0,0,0,1,0,0
14.727,1,0.998874664306641,0,0,0,1,0,0,0,0,0,0
6.321,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
10.517,1,54.8008298874,0,0,0,0,1,0,0,0,0,0
12.086,1,8.28893089294434,0,0,0,0,0,0,0,0,1,0
17.041,2,16.9348630905151,0,0,0,0,0,0,0,1,0,0
10.844,1,2.24,0,0,0,0,1,0,0,0,0,0
