"totalTime","numInputGranules","totalGranuleSize","harmonyGdalAdapter","harmonyServiceExample","harmonyNetcdfToZarr","swotReproject","varSubsetter","sdsMaskfill","trajectorySubsetter","podaacConcise","podaacL2Subsetter","giovanniAdapter"
58.345,97,48.1055498123169,0,1,0,0,0,0,0,0,0,0
9.543,13,6.24829578399658,0,1,0,0,0,0,0,0,0,0
52.436,91,45.3087577819824,0,1,0,0,0,0,0,0,0,0
19.934,27,13.8654441833496,0,1,0,0,0,0,0,0,0,0
35.123,66,32.9915637969971,0,1,0,0,0,0,0,0,0,0
30.777,37,18.2937259674072,0,1,0,0,0,0,0,0,0,0
28.159,36,18.0788164138794,0,1,0,0,0,0,0,0,0,0
45.162,84,42.1179103851318,0,1,0,0,0,0,0,0,0,0
46.109,91,45.3087577819824,0,1,0,0,0,0,0,0,0,0
12.077,6,3.07620239257812,0,1,0,0,0,0,0,0,0,0
53.325,38,19.6781234741211,0,1,0,0,0,0,0,0,0,0
47.213,52,26.3872871398926,0,1,0,0,0,0,0,0,0,0
17.585,21,10.8591346740723,0,1,0,0,0,0,0,0,0,0
45.72,83,41.6645879745483,0,1,0,0,0,0,0,0,0,0
32.454,44,22.7029008865356,0,1,0,0,0,0,0,0,0,0
75.167,78,39.0921697616577,0,1,0,0,0,0,0,0,0,0
38.45,9,4.94799900054932,0,1,0,0,0,0,0,0,0,0
41.848,97,48.1055498123169,0,1,0,0,0,0,0,0,0,0
41.296,90,45.0938444137573,0,1,0,0,0,0,0,0,0,0
12.581,20,10.5630474090576,0,1,0,0,0,0,0,0,0,0
35.387,78,39.0921697616577,0,1,0,0,0,0,0,0,0,0
6.56,1,1.3701868057251,0,1,0,0,0,0,0,0,0,0
26.108,61,30.2126178741455,0,1,0,0,0,0,0,0,0,0
37.841,87,43.9979190826416,0,1,0,0,0,0,0,0,0,0
28.298,58,29.3411550521851,0,1,0,0,0,0,0,0,0,0
25.983,48,24.1044387817383,0,1,0,0,0,0,0,0,0,0
12.572,18,8.96937942504883,0,1,0,0,0,0,0,0,0,0
22.654,46,23.4420022964478,0,1,0,0,0,0,0,0,0,0
22.902,53,26.5912418365479,0,1,0,0,0,0,0,0,0,0
36.323,89,44.6429033279419,0,1,0,0,0,0,0,0,0,0
17.429,35,17.6267700195312,0,1,0,0,0,0,0,0,0,0
28.772,51,25.9677391052246,0,1,0,0,0,0,0,0,0,0
